Rank,Name,Platform
64,Mario Kart 64,N64
65,New Super Mario Bros. 2,3DS
66,Halo 4,X360
67,Final Fantasy VII,PS
68,Call of Duty: Ghosts,PS3
69,Just Dance 2,Wii
70,Gran Turismo 2,PS
71,Call of Duty 4: Modern Warfare,X360
72,Donkey Kong Country,SNES
73,Minecraft,X360
74,Animal Crossing: New Leaf,3DS
75,Mario Party DS,DS
76,The Elder Scrolls V: Skyrim,X360
77,Super Mario Kart,SNES
78,FIFA 16,PS4
79,Wii Party,Wii
80,Halo 2,XB
81,Mario Party 8,Wii
82,Pokemon Black 2/Pokemon White 2,DS
83,FIFA Soccer 13,PS3
84,The Sims 3,PC
85,GoldenEye 007,N64
86,Mario & Sonic at the Olympic Games,Wii
87,Final Fantasy X,PS2
88,Final Fantasy VIII,PS
89,Pokémon Platinum Version,DS
90,Pac-Man,2600
91,Grand Theft Auto: Liberty City Stories,PSP
92,Super Mario Galaxy 2,Wii
93,Star Wars Battlefront (2015),PS4
94,Call of Duty: Advanced Warfare,PS4
95,The Legend of Zelda: Ocarina of Time,N64
96,Crash Bandicoot 2: Cortex Strikes Back,PS
97,Super Mario Bros. 2,NES
98,Super Smash Bros. for Wii U and 3DS,3DS
99,Call of Duty: World at War,X360
100,Battlefield 3,X360
101,The Legend of Zelda: Twilight Princess,Wii
102,Call of Duty: Black Ops 3,XOne
103,Just Dance,Wii
104,Battlefield 3,PS3
105,Need for Speed Underground,PS2
106,Tekken 3,PS
107,Crash Bandicoot 3: Warped,PS
108,Super Smash Bros. Melee,GC
109,Mario Kart 8,WiiU
110,Fallout 4,PS4
111,Mario Kart: Double Dash!!,GC
112,Just Dance 4,Wii
113,FIFA 14,PS3
114,Need for Speed Underground 2,PS2
115,Medal of Honor: Frontline,PS2
116,Uncharted 3: Drake's Deception,PS3
117,Crash Bandicoot,PS
118,Zumba Fitness,Wii
119,Gears of War 2,X360
120,Uncharted 2: Among Thieves,PS3
121,Call of Duty 4: Modern Warfare,PS3
122,FIFA 12,PS3
123,Big Brain Academy,DS
124,Red Dead Redemption,PS3
125,FIFA 15,PS4
126,Donkey Kong Country Returns,Wii
127,The Elder Scrolls V: Skyrim,PS3
128,The Legend of Zelda,NES
129,Assassin's Creed III,PS3
130,Halo: Combat Evolved,XB
131,Pokémon Emerald Version,GBA
132,Kingdom Hearts,PS2
133,Pokémon Crystal Version,GB
134,Halo 3: ODST,X360
135,Red Dead Redemption,X360
136,Super Mario Sunshine,GC
137,Street Fighter II: The World Warrior,SNES
138,World of Warcraft,PC
139,Driver,PS
140,Kinect Sports,X360
141,Gears of War 3,X360
142,Gears of War,X360
143,Metal Gear Solid 2: Sons of Liberty,PS2
144,Sonic the Hedgehog 2,GEN
145,Metal Gear Solid 4: Guns of the Patriots,PS3
146,Metal Gear Solid,PS
147,The Last of Us,PS3
148,Final Fantasy XII,PS2
149,LittleBigPlanet,PS3
150,Dragon Quest IX: Sentinels of the Starry Skies,DS
151,LEGO Star Wars: The Complete Saga,Wii
152,Resident Evil 2,PS
153,Tekken 2,PS
154,Cooking Mama,DS
155,Destiny,PS4
156,Tetris,NES
157,Assassin's Creed II,PS3
158,Super Smash Bros.,N64
159,Assassin's Creed,X360
160,Batman: Arkham City,PS3
161,Forza Motorsport 3,X360
162,Monster Hunter Freedom Unite,PSP
163,Super Mario Advance,GBA
164,Mario Kart: Super Circuit,GBA
165,Super Mario World,GBA
166,Pokemon Stadium,N64
167,Call of Duty: World at War,PS3
168,Crash Bandicoot: The Wrath of Cortex,PS2
169,Minecraft,PS3
170,Final Fantasy XIII,PS3
171,Dr. Mario,GB
172,Pokemon Pinball,GB
173,Assassin's Creed III,X360
174,Final Fantasy IX,PS
175,Final Fantasy X-2,PS2
176,Donkey Kong 64,N64
177,Assassin's Creed II,X360
178,Professor Layton and the Curious Village,DS
179,Tomb Raider II,PS
180,Madden NFL 2004,PS2
181,Dragon Quest VIII: Journey of the Cursed King,PS2
182,Diablo III,PC
183,Super Mario Bros. 3,GBA
184,New Super Mario Bros. U,WiiU
185,Super Mario Land 3: Wario Land,GB
186,FIFA Soccer 13,X360
187,The Legend of Zelda: Phantom Hourglass,DS
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES
189,Tomodachi Life,3DS
190,Mario & Sonic at the Olympic Games,DS
191,Medal of Honor: Rising Sun,PS2
192,Kirby's Dream Land,GB
193,Fable III,X360
194,Call of Duty: Advanced Warfare,XOne
195,Microsoft Flight Simulator,PC
196,Guitar Hero II,PS2
197,Resident Evil 5,PS3
198,Grand Theft Auto V,XOne
199,Grand Theft Auto: Vice City Stories,PSP
200,FIFA Soccer 11,PS3
201,Super Mario Bros.,GB
202,Resident Evil,PS
203,Tony Hawk's Pro Skater,PS
204,Super Smash Bros. for Wii U and 3DS,WiiU
205,Warzone 2100,PS
206,Spyro the Dragon,PS
207,Link's Crossbow Training,Wii
208,Guitar Hero III: Legends of Rock,PS2
209,Fallout 3,X360
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS
211,Uncharted: Drake's Fortune,PS3
212,Madden NFL 06,PS2
213,LEGO Star Wars: The Complete Saga,DS
214,Diddy Kong Racing,N64
215,Monster Hunter Freedom 3,PSP
216,Dr. Mario,NES
217,God of War III,PS3
218,StarCraft II: Wings of Liberty,PC
219,Assassin's Creed,PS3
220,FIFA 15,PS3
221,Crash Team Racing,PS
222,FIFA 17,PS4
223,Batman: Arkham City,X360
224,Driver 2,PS
225,The Simpsons: Hit & Run,PS2
226,Tony Hawk's Pro Skater 2,PS
227,Animal Crossing: City Folk,Wii
228,The Lord of the Rings: The Two Towers,PS2
229,Forza Motorsport 4,X360
230,Tomb Raider,PS
231,Guitar Hero III: Legends of Rock,Wii
232,The Legend of Zelda: A Link to the Past,SNES
233,The Legend of Zelda: The Wind Waker,GC
234,Mario & Sonic at the Olympic Winter Games,Wii
235,Luigi's Mansion: Dark Moon,3DS
236,Splatoon,WiiU
237,The Last of Us,PS4
238,Guitar Hero III: Legends of Rock,X360
239,Madden NFL 2005,PS2
240,Pitfall!,2600
241,Madden NFL 07,PS2
242,Spider-Man: The Movie,PS2
243,Dragon Quest VII: Warriors of Eden,PS
244,Uncharted: The Nathan Drake Collection,PS4
245,Call of Duty: Advanced Warfare,PS3
246,God of War,PS2
247,Nintendo Land,WiiU
248,Michael Jackson: The Experience,Wii
249,Tony Hawk's Pro Skater 3,PS2
250,Winning Eleven: Pro Evolution Soccer 2007,PS2
251,The Elder Scrolls IV: Oblivion,X360
252,Zelda II: The Adventure of Link,NES
253,Need for Speed: Most Wanted,PS2
254,Resistance: Fall of Man,PS3
255,Sonic the Hedgehog,GEN
256,Kingdom Hearts II,PS2
257,FIFA 14,X360
258,Call of Duty: Advanced Warfare,X360
259,Asteroids,2600
260,Fable II,X360
261,Halo 5: Guardians,XOne
262,Super Mario 3D World,WiiU
263,Batman: Arkham Asylum,PS3
264,Assassin's Creed: Revelations,PS3
265,Namco Museum,GBA
266,Metal Gear Solid 3: Snake Eater,PS2
267,Daxter,PSP
268,Warcraft II: Tides of Darkness,PC
269,The Legend of Zelda: Ocarina of Time,3DS
270,FIFA Soccer 06,PS2
271,EyeToy Play,PS2
272,Uncharted 4: A Thief's End,PS4
273,Gran Turismo 5 Prologue,PS3
274,Assassin's Creed: Revelations,X360
275,Street Fighter IV,PS3
276,FIFA 12,X360
277,Teenage Mutant Ninja Turtles,NES
278,Excitebike,NES
279,Frogger,PS
280,Madden NFL 2003,PS2
281,Watch Dogs,PS4
282,Half-Life,PC
283,Super Mario World 2: Yoshi's Island,SNES
284,FIFA Soccer 07,PS2
285,The Legend of Zelda: Skyward Sword,Wii
286,Street Fighter II Turbo,SNES
287,Carnival Games,Wii
288,Fallout 4,XOne
289,World of Warcraft: The Burning Crusade,PC
290,Fallout: New Vegas,X360
291,God of War II,PS2
292,Forza Motorsport 2,X360
293,World Soccer Winning Eleven 9,PS2
294,Namco Museum Vol.3,PS
295,Tekken Tag Tournament,PS2
296,Far Cry 4,PS4
297,Star Fox 64,N64
298,Minecraft,PS4
299,Golf,NES
300,Fallout 3,PS3
301,Professor Layton and the Diabolical Box,DS
302,Left 4 Dead 2,X360
303,Namco Museum: 50th Anniversary,PS2
304,EA Sports Active,Wii
305,Assassin's Creed: Unity,PS4
306,Donkey Kong Land,GB
307,Tony Hawk's Underground,PS2
308,Assassin's Creed IV: Black Flag,PS3
309,Monster Hunter 4 Ultimate,3DS
310,MotorStorm,PS3
311,The Elder Scrolls V: Skyrim,PC
312,Tekken 5,PS2
313,Dragon Warrior III,NES
314,Sports Champions,PS3
315,NBA 2K16,PS4
316,World Soccer Winning Eleven 8 International,PS2
317,Flash Focus: Vision Training in Minutes a Day,DS
318,Namco Museum Vol.1,PS
319,The Legend of Zelda: Link's Awakening,GB
320,Mario & Luigi: Bowser's Inside Story,DS
321,Big Brain Academy: Wii Degree,Wii
322,Nintendogs + cats,3DS
323,Batman: Arkham Knight,PS4
324,Mario & Sonic at the London 2012 Olympic Games,Wii
325,LEGO Indiana Jones: The Original Adventures,X360
326,Resident Evil Director's Cut,PS
327,Ratchet & Clank: Size Matters,PSP
328,Just Dance 2014,Wii
329,The Sims: Unleashed,PC
330,Super Paper Mario,Wii
331,Harry Potter and the Sorcerer's Stone,PS
332,The Witcher 3: Wild Hunt,PS4
333,Resident Evil 3: Nemesis,PS
334,Spyro: Year of the Dragon,PS
335,FIFA Soccer 2005,PS2
336,Pokémon Trading Card Game,GB
337,Battlefield 4,PS3
338,MySims,DS
339,Friend Collection,DS
340,Tony Hawk's Pro Skater 4,PS2
341,Midnight Club 3: DUB Edition,PSP
342,Banjo-Kazooie,N64
343,SOCOM: U.S. Navy SEALs,PS2
344,Guitar Hero: World Tour,Wii
345,Gran Turismo 6,PS3
346,Jak and Daxter: The Precursor Legacy,PS2
347,Pokemon Snap,N64
348,FIFA Soccer 10,PS3
349,Pro Evolution Soccer 2008,PS2
350,Call of Duty: Ghosts,PS4
351,Resident Evil 4,PS2
352,Tom Clancy's The Division,PS4
353,Star Wars: Battlefront,PS2
354,Doom II: Hell on Earth,PC
355,The Simpsons: Road Rage,PS2
356,Cooking Mama 2: Dinner With Friends,DS
357,Luigi's Mansion,GC
358,Star Wars: Battlefront II,PS2
359,WWF SmackDown!,PS
360,Croc: Legend of the Gobbos,PS
361,Grand Theft Auto: Liberty City Stories,PS2
362,The Getaway,PS2
363,Tomb Raider III: Adventures of Lara Croft,PS
364,James Bond 007: Agent Under Fire,PS2
365,LEGO Star Wars: The Video Game,PS2
366,Battlefield 4,X360
367,FIFA Soccer 11,X360
368,Rugrats in Paris: The Movie,PS
369,Spyro 2: Ripto's Rage!,PS
370,Left 4 Dead,X360
371,Mario & Sonic at the Olympic Winter Games,DS
372,Resident Evil 5,X360
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES
374,Assassin's Creed: Brotherhood,X360
375,Kung Fu,NES
376,Batman: Arkham Asylum,X360
377,Clubhouse Games,DS
378,FIFA Soccer 2004,PS2
379,Star Wars Battlefront (2015),XOne
380,Battlefield: Bad Company 2,X360
381,Guitar Hero: On Tour,DS
382,Assassin's Creed: Unity,XOne
383,Far Cry 3,PS3
384,Monster Hunter 4,3DS
385,Borderlands,X360
386,Tekken 4,PS2
387,Battlefield 4,PS4
388,LittleBigPlanet 2,PS3
389,Grand Theft Auto 2,PS
390,Final Fantasy III,SNES
391,Spider-Man 2,PS2
392,F-1 Race,GB
393,FIFA Soccer 2003,PS2
394,Crash Bash,PS
395,LEGO Batman: The Videogame,X360
396,Metal Gear Solid V: The Phantom Pain,PS4
397,The Legend of Zelda: Spirit Tracks,DS
398,WWF War Zone,PS
399,The Legend of Zelda: Majora's Mask,N64
400,Professor Layton and the Unwound Future,DS
401,Rugrats: Search For Reptar,PS
402,Assassin's Creed IV: Black Flag,X360
403,English Training: Have Fun Improving Your Skills!,DS
404,James Bond 007: Nightfire,PS2
405,Ratchet & Clank,PS2
406,Mario Party 9,Wii
407,Star Wars Episode III: Revenge of the Sith,PS2
408,Max Payne,PS2
409,The Lord of the Rings: The Return of the King,PS2
410,Assassin's Creed Syndicate,PS4
411,Destiny,XOne
412,True Crime: Streets of LA,PS2
413,Wii Music,Wii
414,Gran Turismo (PSP),PSP
415,Monster Hunter X,3DS
416,Tekken,PS
417,FIFA 16,XOne
418,L.A. Noire,PS3
419,Madden NFL 16,PS4
420,Yokai Watch 2 Ganso/Honke,3DS
421,007: Tomorrow Never Dies,PS
422,Baseball,NES
423,Killer Instinct,SNES
424,WWF SmackDown! 2: Know Your Role,PS
425,Crisis Core: Final Fantasy VII,PSP
426,God of War: Chains of Olympus,PSP
427,Dragon Quest VI: Maboroshi no Daichi,SNES
428,Dance Central,X360
429,Enter the Matrix,PS2
430,Super Mario Maker,WiiU
431,Fallout: New Vegas,PS3
432,LEGO Batman: The Videogame,Wii
433,Rhythm Heaven,DS
434,Ace Combat 04: Shattered Skies,PS2
435,Club Penguin: Elite Penguin Force,DS
436,Animal Crossing,GC
437,LEGO Batman: The Videogame,DS
438,Sonic Rush,DS
439,Resident Evil 6,PS3
440,Halo: The Master Chief Collection,XOne
441,FIFA Soccer 08,PS2
442,Spider-Man,PS
443,Need for Speed III: Hot Pursuit,PS
444,Star Wars Episode I Racer,N64
445,Personal Trainer: Cooking,DS
446,The Elder Scrolls IV: Oblivion,PS3
447,Dragon Warrior IV,NES
448,Heavy Rain,PS3
449,Mass Effect 2,X360
450,FIFA 15,X360
451,Dragon Ball Z: Budokai,PS2
452,Madden NFL 2002,PS2
453,World Class Track Meet,NES
454,Borderlands 2,X360
455,The Legend of Zelda: A Link Between Worlds,3DS
456,Donkey Kong,GB
457,The Sims: Vacation,PC
458,Mass Effect 3,X360
459,Kung Fu Panda,X360
460,Far Cry 3,X360
461,Epic Mickey,Wii
462,Saints Row 2,X360
463,Rayman,PS
464,Killzone 2,PS3
465,Tom Clancy's Splinter Cell,XB
466,Mike Tyson's Punch-Out!!,NES
467,WWE SmackDown! Shut Your Mouth,PS2
468,Gears of War: Ultimate Edition,XOne
469,NBA 2K13,X360
470,Dragon Ball Z: Budokai Tenkaichi 3,PS2
471,wwe Smackdown vs. Raw 2006,PS2
472,Middle-Earth: Shadow of Mordor,PS4
473,Star Fox,SNES
474,The Sims: Livin Large,PC
475,World Soccer Winning Eleven 6 International,PS2
476,Devil May Cry,PS2
477,Animal Crossing: Happy Home Designer,3DS
478,Battlefield: Bad Company 2,PS3
479,The Sims 4,PC
480,Star Wars: The Old Republic,PC
481,Sonic Heroes,PS2
482,Kirby Super Star Ultra,DS
483,Hitman 2: Silent Assassin,PS2
484,Street Fighter IV,X360
485,Wave Race 64,N64
486,SOCOM II: U.S. Navy SEALs,PS2
487,WWE SmackDown! vs. RAW 2006,PS2
488,inFAMOUS,PS3
489,Pac-Man Collection,GBA
490,Mass Effect,X360
491,WarioWare: Smooth Moves,Wii
492,Cooking Mama: Cook Off,Wii
493,Super Mario World 2: Yoshi's Island,GBA
494,FIFA 14,PS4
495,Titanfall,XOne
496,Sonic Mega Collection Plus,PS2
497,Sega Superstars Tennis,X360
498,World Soccer Winning Eleven 7 International,PS2
499,Need for Speed: Most Wanted,PS3
500,Hot Shots Golf 3,PS2
501,Call of Duty: Finest Hour,PS2
502,Zumba Fitness 2,Wii
503,Syphon Filter,PS
504,Imagine: Babyz,DS
505,Colin McRae Rally,PS
506,Call of Duty: Ghosts,XOne
507,Madden NFL 13,X360
508,The Elder Scrolls III: Morrowind,XB
509,Mortal Kombat,PS3
510,F-Zero,SNES
511,Yoshi's Story,N64
512,Command & Conquer: Red Alert,PC
513,Skylanders: Spyro's Adventure,Wii
514,FIFA 16,PS3
515,Assassin's Creed: Brotherhood,PS3
516,BioShock,X360
517,Madden NFL 10,X360
518,Medal of Honor,PS3
519,WWE SmackDown! vs. Raw,PS2
520,Metroid Prime,GC
521,Finding Nemo,GBA
522,Myst,PC
523,Need for Speed: Hot Pursuit,PS3
524,Imagine: Fashion Designer,DS
525,WWE SmackDown! Here Comes the Pain,PS2
526,Star Wars: The Force Unleashed,X360
527,Yoshi's Island DS,DS
528,Hot Shots Golf,PS
529,Killzone 3,PS3
530,A Bug's Life,PS
531,WWF SmackDown! Just Bring It,PS2
532,Dragon Quest V: Tenkuu no Hanayome,SNES
533,Mortal Kombat Trilogy,PS
534,Battlefield 3,PC
535,NBA Street,PS2
536,Professor Layton and the Last Specter,DS
537,Monster Hunter Tri,3DS
538,Jak II,PS2
539,inFAMOUS: Second Son,PS4
540,Ratchet & Clank: Going Commando,PS2
541,Tekken 6,PS3
542,The Sims,PS2
543,Sonic and the Secret Rings,Wii
544,Saints Row: The Third,X360
545,Missile Command,2600
546,Mario Paint,SNES
547,Assassin's Creed IV: Black Flag,PS4
548,Pokémon Stadium 2,N64
549,Metroid,NES
550,L.A. Noire,X360
551,Call of Duty 3,X360
552,The Legend of Zelda: A Link to the Past,GBA
553,Onimusha: Warlords,PS2
554,Mortal Kombat X,PS4
555,Mario Party,N64
556,Madden NFL 12,X360
557,LEGO Star Wars II: The Original Trilogy,PS2
558,Madden NFL 11,X360
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS
560,Skate 3,X360
561,Burnout 3: Takedown,PS2
562,Yokai Watch 2 Shinuchi,3DS
563,Need for Speed: Shift,PS3
564,Final Fantasy XIII-2,PS3
565,Mortal Kombat,GEN
566,Call Of Duty 2: Big Red One,PS2
567,Guitar Hero: World Tour,X360
568,Medal of Honor,PS
569,Fable,XB
570,Hannah Montana,DS
571,Tom Clancy's Splinter Cell,PS2
572,Skylanders Giants,Wii
573,Medal of Honor Heroes,PSP
574,Super Mario Bros.: The Lost Levels,NES
575,Star Wars: Shadows of the Empire,N64
576,LEGO Star Wars: The Complete Saga,X360
577,Midnight Club: Street Racing,PS2
578,Pac-Man: Adventures in Time,PSP
579,Halo Wars,X360
580,God of War Collection,PS3
581,ESPN NFL 2K5,PS2
582,Mario Strikers Charged,Wii
583,Medal of Honor,X360
584,FIFA Soccer 10,X360
585,NBA 2K12,X360
586,Style Savvy,DS
587,Harry Potter and the Chamber of Secrets,PS2
588,Super Mario All-Stars: Limited Edition,Wii
589,Streets of Rage,GEN
590,FIFA Soccer 09,PS3
591,Ratchet & Clank Future: Tools of Destruction,PS3
592,NBA Live 2005,PS2
593,LittleBigPlanet,PSP
594,Killzone: Shadow Fall,PS4
595,Ghostbusters: The Video Game (DS Version),X360
596,Monster Hunter Freedom 2,PSP
597,WWE SmackDown vs. RAW 2007,PS2
598,Ratchet & Clank: Up Your Arsenal,PS2
599,Art Academy,DS
600,Dragon Age: Origins,X360
601,Madden NFL 08,PS2
602,Sonic Adventure 2 Battle,GC
603,Dragon Warrior II,NES
604,Madden NFL 13,PS3
605,Pokémon Colosseum,GC
606,Deca Sports,Wii
607,Madden NFL 09,X360
608,Space Invaders,2600
609,Crazy Taxi,PS2
610,Perfect Dark,N64
611,Game Party,Wii
612,Dragon Warrior,NES
613,Tomb Raider (2013),PS3
614,Marvel: Ultimate Alliance,X360
615,PES 2009: Pro Evolution Soccer,PS2
616,Mario Party 2,N64
617,Saints Row: The Third,PS3
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB
619,LEGO Harry Potter: Years 1-4,Wii
620,Mortal Kombat: Deadly Alliance,PS2
621,Resistance 2,PS3
622,Pure,X360
623,Tomb Raider: The Last Revelation,PS
624,NBA 2K13,PS3
625,Rock Band,X360
626,NBA 2K14,X360
627,Mario Party 4,GC
628,uDraw Studio,Wii
629,Midnight Club: Los Angeles,PS3
630,Final Fantasy V,SNES
631,Final Fantasy Tactics,PS
632,Twisted Metal 2,PS
633,Halo: Combat Evolved Anniversary,X360
634,Need for Speed Carbon: Own the City,PSP
635,The Sims: Bustin' Out,PS2
636,Riven: The Sequel to Myst,PC
637,Tom Clancy's Rainbow Six: Vegas 2,X360
638,Sonic Adventure,DC
639,Ice Hockey,NES
640,pro evolution soccer 2011,PS3
641,Dragon Ball Z: Budokai 2,PS2
642,ATV Offroad Fury,PS2
643,Dino Crisis,PS
644,Minecraft,XOne
645,Need for Speed: ProStreet,PS2
646,Madden NFL 16,XOne
647,Tetris Plus,PS
648,Pro Wrestling,NES
649,Theme Hospital,PC
650,Frogger's Adventures: Temple of the Frog,GBA
651,Need for Speed (2015),PS4
652,Zumba Fitness,X360
653,LEGO Indiana Jones: The Original Adventures,Wii
655,Monopoly,PC
656,Batman: Arkham Origins,PS3
657,Dead Island,X360
658,Guitar Hero,PS2
659,LEGO Star Wars: The Complete Saga,PS3
660,Kinect: Disneyland Adventures,X360
661,WCW/nWo Revenge,N64
662,Bloodborne,PS4
663,NBA 2K15,PS4
664,Madden NFL 11,PS3
665,Yu-Gi-Oh! The Duelists of the Roses,PS2
666,Madden NFL 08,X360
667,Half-Life 2,PC
668,The Incredibles,PS2
669,Tony Hawk's Underground 2,PS2
670,Madden NFL 10,PS3
671,Kinect Sports: Season Two,X360
672,Kirby's Dream Land 2,GB
673,LEGO Harry Potter: Years 1-4,DS
674,Donkey Kong Land II,GB
675,Dragon Warrior Monsters,GB
676,Midnight Club: Los Angeles,X360
677,Skylanders SWAP Force,Wii
678,WWE SmackDown vs Raw 2008,PS2
679,My Fitness Coach,Wii
680,Resident Evil - Code: Veronica X,PS2
681,The Sims 3,X360
682,The Legend of Zelda: Majora's Mask 3D,3DS
683,NBA 2K16,XOne
684,Just Dance Kids,Wii
685,Mario Tennis,N64
686,Grand Theft Auto,PS
687,James Bond 007: Everything or Nothing,PS2
688,WarioWare Touched!,DS
689,Need For Speed: High Stakes,PS
690,Chrono Trigger,SNES
691,Cool Boarders 3,PS
692,LEGO Marvel Super Heroes,X360
693,Guild Wars 2,PC
694,Pokemon Ranger: Shadows of Almia,DS
695,Dead Island,PS3
696,Tomb Raider II,PC
697,God of War: Ascension,PS3
698,Need for Speed Underground 2,XB
699,Pro Evolution Soccer 2010,PS3
700,Just Dance 2015,Wii
701,Yokai Watch Busters,3DS
702,Mario Bros.,NES
703,FIFA Soccer 09,PS2
704,Star Wars: The Force Unleashed,PS3
705,Borderlands 2,PS3
706,TOCA Touring Car Championship,PS
707,Paper Mario: Sticker Star,3DS
708,Sonic's Ultimate Genesis Collection,PS3
709,Super Monkey Ball: Banana Blitz,Wii
710,Kirby: Nightmare in Dream Land,GBA
711,Wario Land 4,GBA
712,Guitar Hero III: Legends of Rock,PS3
713,Call of Duty 3,Wii
714,Resident Evil 4,Wii
715,Minecraft,PSV
716,Onimusha 2: Samurai's Destiny,PS2
717,Cool Boarders 2,PS
718,Paper Mario: The Thousand-Year Door,GC
719,Madden NFL 12,PS3
720,Monster Hunter Tri,Wii
721,Dissidia: Final Fantasy,PSP
722,Sonic Advance,GBA
723,Spyro: Season of Ice,GBA
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES
725,LEGO Indiana Jones: The Original Adventures,DS
726,Dance Dance Revolution X2,PS2
727,New Super Luigi U,WiiU
728,Prince of Persia: The Sands of Time,PS2
729,Scribblenauts,DS
730,The Legend of Zelda: Link's Awakening DX,GB
731,Need for Speed: Hot Pursuit,X360
732,BioShock 2,X360
733,Assassin's Creed IV: Black Flag,XOne
734,Devil May Cry 3: Dante's Awakening Special Edition,PS2
735,Rock Band 2,X360
736,Frogger,2600
737,Guitar Hero II,X360
738,Wario Land 3,GB
739,Pro Yakyuu Family Stadium,NES
740,Sonic Unleashed,Wii
741,High School Musical: Makin' the Cut!,DS
742,Pro Evolution Soccer 2012,PS3
743,Saints Row,X360
744,Star Wars: Knights of the Old Republic,XB
745,Kirby's Pinball Land,GB
746,Donkey Kong Country,GB
747,Hitman: Absolution,PS3
748,Yu-Gi-Oh: Duel Monsters 4,GB
749,ATV Offroad Fury 2,PS2
750,Forza Motorsport 5,XOne
751,Madden NFL 25,X360
752,Pokemon Ranger,DS
753,Mario & Luigi: Superstar Saga,GBA
754,Final Fantasy XIII,X360
755,Star Wars: Rogue Squadron,N64
756,Tennis,NES
757,The Sims: House Party,PC
758,Your Shape featuring Jenny McCarthy,Wii
759,Syphon Filter 2,PS
760,Tom Clancy's Rainbow Six: Siege,PS4
761,Volleyball,NES
762,FIFA 15,XOne
763,Call of Duty: Roads to Victory,PSP
764,Super Mario RPG: Legend of the Seven Stars,SNES
765,Mahjong,NES
766,R.C. Pro-Am,NES
767,SimCity 2000,PC
768,Demon Attack,2600
769,Dance Dance Revolution Extreme,PS2
770,Tetris DS,DS
771,Final Fantasy Tactics Advance,GBA
772,Far Cry: Primal,PS4
773,Toy Story 3: The Video Game,DS
774,Final Fantasy III,DS
775,Kirby's Epic Yarn,Wii
776,Project Gotham Racing,XB
777,Golf,GB
778,NBA 2K12,PS3
779,Borderlands,PS3
780,Tony Hawk's Pro Skater,N64
781,PES 2009: Pro Evolution Soccer,PS3
782,Need for Speed: Hot Pursuit 2,PS2
783,Mario Sports Mix,Wii
784,Rock Band,Wii
785,Dynasty Warriors 4,PS2
786,Mortal Kombat,X360
787,Parasite Eve,PS
788,Scooby-Doo! Night of 100 Frights,PS2
789,Project Gotham Racing (JP weekly sales),XB
790,Need for Speed: Most Wanted 5-1-0,PSP
791,Portal 2,X360
792,Devil May Cry 3: Dante's Awakening,PS2
793,Derby Stallion,PS
794,Dead Rising,X360
795,Finding Nemo,PS2
796,NBA 2K11,X360
797,Wipeout: The Game,Wii
